Chat  Name,Total  Messages,Average  Characters  Length,Emoji  Count,Start  Date,End  Date,Messages  at  0  hours,Messages  at  1  hours,Messages  at  2  hours,Messages  at  3  hours,Messages  at  4  hours,Messages  at  5  hours,Messages  at  6  hours,Messages  at  7  hours,Messages  at  8  hours,Messages  at  9  hours,Messages  at  10  hours,Messages  at  11  hours,Messages  at  12  hours,Messages  at  13  hours,Messages  at  14  hours,Messages  at  15  hours,Messages  at  16  hours,Messages  at  17  hours,Messages  at  18  hours,Messages  at  19  hours,Messages  at  20  hours,Messages  at  21  hours,Messages  at  22  hours,Messages  at  23  hours,Messages  January,Messages  February,Messages  March,Messages  April,Messages  May,Messages  June,Messages  July,Messages  August,Messages  September,Messages  October,Messages  November,Messages  December,Messages  Monday,Messages  Tuesday,Messages  Wednesday,Messages  Thursday,Messages  Friday,Messages  Saturday,Messages  Sunday,Total  breaks,Total  exclamations!,Total  interrogations?,Total  capital  letters,Total  links,Total  videos,Total  images,Top  1  emoji,Top  1  emoji  usage,Top  2  emoji,Top  2  emoji  usage,Top  3  emoji,Top  3  emoji  usage,Top  4  emoji,Top  4  emoji  usage,Top  5  emoji,Top  5  emoji  usage,Top  6  emoji,Top  6  emoji  usage,Top  7  emoji,Top  7  emoji  usage,Top  8  emoji,Top  8  emoji  usage,Top  9  emoji,Top  9  emoji  usage,Top  10  emoji,Top  10  emoji  usage,Polarity  standard  deviation,Polarity  mean,Positive  sentiment  standard  deviation,Positive  sentiment  mean,Negative  sentiment  standard  deviation,Negative  sentiment  mean
O  Município  Joinville  21.txt,2833,119.16131309565831,685,2020-07-06  20:21:11,2021-01-15  12:24:59,14,4,1,0,0,0,1,34,119,188,197,231,188,190,182,211,199,221,202,197,166,128,106,54,184,0,0,0,0,0,0,505,495,561,593,495,422,459,450,462,421,327,292,4439,187,58,3188,2760,6,39,📱,37,👉,34,📢,30,✅,28,📚,26,👇,23,🏻,22,🚨,20,🤩,19,💪,19,0.731801074461515,-0.45430894308943076,0.12602506710721018,0.7560492651003737,0.13308038623594745,0.8335794308886973
Pública.txt,46,700.3695652173913,128,2020-11-04  18:06:06,2021-01-15  12:59:19,0,0,0,0,0,0,0,0,0,2,1,0,4,7,5,4,7,5,8,0,2,1,0,0,8,0,0,0,0,0,0,0,0,0,27,11,6,9,10,10,10,1,0,308,10,40,1086,78,0,2,▪,112,👉,6,📢,3,⚠,2,🎉,2,✊,1,🔎,1,🎧,1,,0,  ,0,0.5432624287971645,-0.6192996567996567,0.11995370122889393,0.8445871334289781,0.12094583036519467,0.8421690891595885
UOL  Economia+  16.txt,131,912.0687022900763,166,2020-08-24  19:47:35,2021-01-15  08:11:48,0,0,0,0,0,0,0,0,61,0,0,0,11,1,1,0,0,3,45,9,0,0,0,0,21,0,0,0,0,0,0,1,0,12,48,49,24,25,37,25,20,0,0,1706,134,135,6038,561,1,4,💲,28,💵,28,💶,28,📊,27,📈,25,❓,7,🏘,5,💰,4,👁,3,🗨,3,0.7189383750855379,-0.07526324060977524,0.12217064466859402,0.8467012586650624,0.1424651790724008,0.7990459011159743
Gazeta  do  Povo  Local  24.txt,672,138.68303571428572,2916,2019-07-08  18:11:27,2021-01-14  18:32:37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7,52,257,333,20,0,0,0,56,0,0,0,0,0,0,117,117,127,138,117,129,137,144,133,120,8,1,931,52,132,4436,563,4,3,⏩,734,➡,278,👉,235,✳,135,📲,123,😷,108,📞,93,🏻,87,▶,51,🗳,49,0.7119353905772707,-0.4620689655172414,0.11366219941809837,0.9235978818758075,0.09185203242951702,0.8974944012668237
Gazeta  do  Povo  89.txt,787,129.29351969504447,484,2018-10-03  14:29:31,2021-01-15  10:09:28,0,0,0,0,0,0,0,0,0,7,22,4,15,42,9,0,2,8,35,287,244,112,0,0,106,0,0,0,0,0,0,138,114,122,146,161,146,160,169,157,137,13,5,951,86,99,13046,703,19,10,📰,102,📱,86,📲,62,⏲,32,💬,21,🗣,17,➡,11,😉,9,🚨,9,🕵,9,0.7212297681254604,-0.3824198861934711,0.07592193098552848,0.9042293104078372,0.0763567121183707,0.9192689879137881
GZH.txt,86,1056.3139534883721,843,2020-09-30  13:15:24,2021-01-14  17:30:23,1,0,0,0,0,0,0,1,0,0,1,2,2,2,3,4,6,38,22,0,0,0,2,2,11,0,0,0,0,0,0,0,2,23,25,25,16,14,19,16,18,3,0,2122,63,21,4718,695,11,2,👉,66,👇,61,🔴,60,🔵,60,💉,44,🤗,41,🗣,36,🚨,34,➡,24,⚽,18,0.5858368380506302,-0.7014981273408241,0.13446742251452623,0.8351015675028833,0.10435474204911155,0.9142717713717996
Matinal  2021.txt,28,620.0,113,2020-12-23  16:21:28,2021-01-15  07:18:24,0,0,0,0,1,0,1,18,0,0,0,0,0,0,1,1,5,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,6,2,6,10,6,4,0,0,234,25,1,947,44,0,0,☕,9,💉,9,👉,8,📣,6,🦠,5,📲,4,🥵,4,👩,4,🏽,4,❤,3,0.6754667175413877,-0.5812074829931974,0.19273507078608976,0.7303735293437811,0.08828178431859471,0.8800175133508465
Tribuna  do  Paraná-Matriz  II.txt,1003,122.1814556331007,901,2019-08-06  17:40:15,2021-01-15  11:02:57,0,1,0,0,0,0,0,0,2,48,123,102,99,59,77,114,113,131,77,31,11,7,8,0,111,0,0,0,0,0,0,0,0,267,324,301,180,211,221,196,175,0,20,3818,376,123,16337,981,10,8,😮,121,🤔,60,😟,52,🚰,48,🏻,48,😷,43,🤑,32,🌧,26,💉,24,🗳,21,0.7642004106081703,-0.26333333333333336,0.09488978578331861,0.8690505823351525,0.11390123816525141,0.8720403754387128
O  Estado  de  S.  Paulo.txt,188,704.4308510638298,11314,2019-07-29  08:36:35,2021-01-15  09:26:13,0,0,0,0,0,1,1,0,5,45,7,1,8,39,10,1,0,4,7,38,18,3,0,0,23,0,0,0,0,0,0,41,62,45,12,5,27,40,41,42,37,1,0,2168,240,159,10468,984,0,0,👉,575,📲,398,🗣,320,⚖,261,💰,251,👨,235,🇷,230,🤔,214,👩,198,🇧,180,0.5862447320923577,-0.33500000000000035,0.11362865343827366,0.8315044856326369,0.10228594024352676,0.8626302054697017
O  Mirante  01.txt,678,316.37168141592923,0,2020-07-15  16:07:37,2021-01-15  11:17:40,0,0,0,0,0,0,0,0,1,15,57,93,64,47,24,37,64,74,77,72,36,8,7,2,23,0,0,0,0,0,0,169,196,141,89,60,128,123,140,121,144,9,13,2731,6,6,4908,641,0,4,,0,  ,0,    ,0,      ,0,        ,0,          ,0,            ,0,              ,0,                ,0,                  ,0,0.6540993512217791,-0.40659340659340676,0.12090716142153458,0.8446983285932286,0.1279184128055896,0.8559761870445051
