Chat  Name,Total  Messages,Average  Characters  Length,Emoji  Count,Start  Date,End  Date,Messages  at  0  hours,Messages  at  1  hours,Messages  at  2  hours,Messages  at  3  hours,Messages  at  4  hours,Messages  at  5  hours,Messages  at  6  hours,Messages  at  7  hours,Messages  at  8  hours,Messages  at  9  hours,Messages  at  10  hours,Messages  at  11  hours,Messages  at  12  hours,Messages  at  13  hours,Messages  at  14  hours,Messages  at  15  hours,Messages  at  16  hours,Messages  at  17  hours,Messages  at  18  hours,Messages  at  19  hours,Messages  at  20  hours,Messages  at  21  hours,Messages  at  22  hours,Messages  at  23  hours,Messages  January,Messages  February,Messages  March,Messages  April,Messages  May,Messages  June,Messages  July,Messages  August,Messages  September,Messages  October,Messages  November,Messages  December,Messages  Monday,Messages  Tuesday,Messages  Wednesday,Messages  Thursday,Messages  Friday,Messages  Saturday,Messages  Sunday,Total  breaks,Total  exclamations!,Total  interrogations?,Total  capital  letters,Total  links,Total  videos,Total  images,Total  audios,Polarity  standard  deviation,Polarity  mean,Positive  sentiment  standard  deviation,Positive  sentiment  mean,Negative  sentiment  standard  deviation,Negative  sentiment  mean,trump,biden,covid,coronavirus,bolsonaro,lula
O  Município.txt,2633,135.3759969616407,461,-,-,2,0,0,0,0,0,34,102,130,157,149,182,171,169,175,173,188,182,173,191,175,176,86,18,630,602,214,0,0,0,0,0,0,0,531,656,425,449,421,407,403,253,275,6213,240,77,7482,2634,1,17,0,0.7045972508280365,-0.46455399061032865,0.12229333859163664,0.762449627532083,0.12179518409883866,0.8483208785519405,1,0,452,26,21,7
Gazeta  do  Povo  Local.txt,509,129.99607072691552,518,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,7,54,364,78,1,0,0,0,123,112,42,0,0,0,0,0,0,0,115,117,109,106,104,93,88,8,1,671,30,88,3147,430,4,3,0,0.7732196057199546,-0.2661290322580646,0.09468889562980268,0.8913850970183068,0.11861862606729251,0.8690223587079993,0,0,92,0,5,2
UOL  Tilt.txt,128,689.765625,213,-,-,1,0,0,0,0,0,0,0,0,0,0,0,4,7,12,8,6,8,8,25,38,11,0,0,32,29,10,0,0,0,0,0,0,0,24,33,22,19,34,34,19,0,0,855,100,134,2774,324,0,47,0,0.7166918985088225,-0.04405211141060197,0.12554392768981146,0.8215853764318422,0.14495552575438653,0.7197377007886783,5,1,15,0,3,28
Correio  Sabiá.txt,136,2234.5,6393,-,-,0,0,0,0,1,8,28,73,0,4,3,2,2,2,5,1,1,1,3,0,0,2,0,0,27,32,21,0,0,0,0,0,0,0,22,34,29,22,26,23,34,2,0,136,43,31,14390,522,0,8,0,0.6960959715301411,-0.4821363518084828,0.10306966712289886,0.8498780619661475,0.11059699744811369,0.8593168800496709,49,50,144,0,279,20
O  Mirante  Joinville.txt,199,320.14070351758795,1,-,-,0,0,0,0,0,0,0,0,0,6,22,19,6,10,11,18,23,17,22,28,12,2,1,2,40,15,6,0,0,0,0,0,0,0,78,60,39,49,32,29,41,2,7,799,4,3,1486,180,0,1,0,0.702417605340008,-0.406058044519583,0.1273155705459105,0.838572663374267,0.1232606049413996,0.8748662906209765,0,0,14,1,6,0
Jornal  do  Comércio.txt,307,145.03908794788273,7,-,-,0,0,0,0,0,0,0,0,50,78,31,14,0,1,5,2,13,104,7,2,0,0,0,0,44,58,21,0,0,0,0,0,0,0,86,98,61,61,68,63,54,0,0,334,3,1,9436,304,0,1,0,0.7213667820088786,-0.35182998819362465,0.06988754707597106,0.9080883204235647,0.07384950030013163,0.9262906502371605,0,0,13,0,0,0
GZH.txt,110,1114.1181818181817,560,-,-,0,0,0,0,0,0,1,1,1,1,2,6,14,48,10,8,2,3,4,6,3,0,0,0,24,23,10,0,0,0,0,0,0,0,22,31,25,22,24,19,20,0,0,2599,88,36,6458,960,7,4,1,0.5710677600139586,-0.770802919708029,0.12768070603329157,0.81840314869925,0.10253861141712545,0.9124223939098164,5,4,57,57,21,4
Gazeta  do  Povo.txt,767,123.95958279009126,515,-,-,0,0,0,0,0,0,0,0,0,108,93,10,15,42,9,4,3,8,26,344,93,12,0,0,227,186,69,0,0,0,0,0,0,0,124,161,153,154,159,144,132,19,6,984,35,72,11509,642,13,12,44,0.7336661738032609,-0.3286829112916069,0.08132951482685158,0.9013733201774043,0.08073370896555276,0.9077960862590789,22,16,67,0,59,13
Tribuna  do  Paraná.txt,1006,124.13121272365805,131,-,-,0,0,0,0,0,0,0,0,0,46,133,110,75,67,87,127,128,132,74,17,9,1,0,0,208,147,94,0,0,0,0,0,0,0,256,301,221,222,196,180,167,0,20,3926,420,114,16632,995,3,2,0,0.7846287262028223,-0.3194444444444444,0.09894213618533558,0.9226282484291637,0.10745887749434405,0.8827372780056366,0,0,158,0,6,6
O  Estado  de  S.  Paulo.txt,116,714.3448275862069,2377,-,-,0,0,0,0,0,0,0,0,15,9,7,0,31,7,1,2,0,1,23,15,1,4,0,0,44,40,20,0,0,0,0,0,0,0,7,5,21,25,24,25,21,0,0,1391,162,104,6254,627,0,0,0,0.4993399226634782,-0.315798319327731,0.10418096606710865,0.8675598759435643,0.1043430432605404,0.8755215767709755,21,9,56,0,82,14
O  Município  Joinville.txt,2006,138.45413758723828,219,-,-,3,1,1,0,0,0,1,45,110,131,130,172,120,124,126,148,142,156,154,154,128,94,55,11,408,468,178,0,0,0,0,0,0,0,457,495,338,326,318,315,309,192,208,4178,126,67,3563,1957,8,20,0,0.6630726607480816,-0.5307142857142858,0.12536566431069796,0.8028303159588981,0.12370647685615806,0.8518578352715148,1,0,318,8,17,6
Matinal.txt,183,825.0218579234972,365,-,-,0,0,0,0,1,0,1,142,3,1,0,3,8,3,8,3,6,0,2,0,2,0,0,0,44,38,18,0,0,0,0,0,0,0,41,42,31,33,45,34,39,1,0,2003,160,11,8130,302,2,5,69,0.7723970329217195,-0.5008492063492064,0.131988310750538,0.835087783442644,0.09392736992900336,0.8844847451824295,0,2,87,0,6,74
The  Intercept  Brasil.txt,40,466.85,510,-,-,0,0,0,0,0,0,0,0,1,1,6,4,7,7,8,3,3,0,0,0,0,0,0,0,12,7,4,0,0,0,0,0,0,0,13,4,7,7,7,9,10,0,0,311,0,44,632,86,0,0,0,0.4187669289004813,-0.6104166666666666,0.04724733534764379,0.9519469000601077,0.13417616271634025,0.8860657390602945,1,1,7,0,5,1
Pública.txt,83,778.8192771084338,85,-,-,0,0,0,0,0,0,0,0,1,2,2,1,6,14,13,14,9,7,10,3,0,1,0,0,23,17,10,0,0,0,0,0,0,0,22,11,15,16,18,15,18,1,0,611,14,81,2121,158,0,4,0,0.5381458810688858,-0.6136324859834791,0.12877767742791887,0.8273001709320362,0.11552818378152972,0.8494884520521763,6,0,19,0,37,1
