Chat  Name,Total  Messages,Average  Characters  Length,Emoji  Count,Start  Date,End  Date,Messages  at  0  hours,Messages  at  1  hours,Messages  at  2  hours,Messages  at  3  hours,Messages  at  4  hours,Messages  at  5  hours,Messages  at  6  hours,Messages  at  7  hours,Messages  at  8  hours,Messages  at  9  hours,Messages  at  10  hours,Messages  at  11  hours,Messages  at  12  hours,Messages  at  13  hours,Messages  at  14  hours,Messages  at  15  hours,Messages  at  16  hours,Messages  at  17  hours,Messages  at  18  hours,Messages  at  19  hours,Messages  at  20  hours,Messages  at  21  hours,Messages  at  22  hours,Messages  at  23  hours,Messages  January,Messages  February,Messages  March,Messages  April,Messages  May,Messages  June,Messages  July,Messages  August,Messages  September,Messages  October,Messages  November,Messages  December,Messages  Monday,Messages  Tuesday,Messages  Wednesday,Messages  Thursday,Messages  Friday,Messages  Saturday,Messages  Sunday,Total  breaks,Total  exclamations!,Total  interrogations?,Total  capital  letters,Total  links,Total  videos,Total  images,Total  audios,trump,biden,covid,coronavirus,bolsonaro,lula
O  Município.txt,2633,135.3759969616407,1581,-,-,2,0,0,0,0,0,34,102,130,157,149,182,171,169,175,173,188,182,173,191,175,176,86,18,630,602,214,0,0,0,0,0,0,0,531,656,425,449,421,407,403,253,275,6213,240,77,7482,2634,1,17,0,1,0,452,26,21,7
Seu  Panorama.txt,188,2666.3297872340427,441,-,-,0,0,0,0,0,0,129,40,3,0,2,2,1,0,1,3,2,1,3,1,0,0,0,0,44,42,19,0,0,0,0,0,0,0,36,47,35,35,34,34,31,19,0,3931,70,37,18425,1145,1,0,80,65,64,291,0,202,19
Jornal  do  Comércio.txt,307,145.03908794788273,6,-,-,0,0,0,0,0,0,0,0,50,78,31,14,0,1,5,2,13,104,7,2,0,0,0,0,44,58,21,0,0,0,0,0,0,0,86,98,61,61,68,63,54,0,0,334,3,1,9436,304,0,1,0,0,0,13,0,0,0
Pública.txt,83,778.8192771084338,252,-,-,0,0,0,0,0,0,0,0,1,2,2,1,6,14,13,14,9,7,10,3,0,1,0,0,23,17,10,0,0,0,0,0,0,0,22,11,15,16,18,15,18,1,0,611,14,81,2121,158,0,4,0,6,0,19,0,37,1
O  Mirante  Joinville.txt,199,320.14070351758795,0,-,-,0,0,0,0,0,0,0,0,0,6,22,19,6,10,11,18,23,17,22,28,12,2,1,2,40,15,6,0,0,0,0,0,0,0,78,60,39,49,32,29,41,2,7,799,4,3,1486,180,0,1,0,0,0,14,1,6,0
The  Intercept  Brasil.txt,40,466.85,143,-,-,0,0,0,0,0,0,0,0,1,1,6,4,7,7,8,3,3,0,0,0,0,0,0,0,12,7,4,0,0,0,0,0,0,0,13,4,7,7,7,9,10,0,0,311,0,44,632,86,0,0,0,1,1,7,0,5,1
Aos  Fatos.txt,135,995.7555555555556,519,-,-,0,0,0,0,0,0,0,0,1,0,2,6,3,10,9,20,13,16,31,16,5,1,2,0,38,25,9,0,0,0,0,0,0,0,38,25,28,27,28,23,22,4,3,1630,49,204,4199,465,0,0,0,7,6,107,3,56,11
UOL  Tilt.txt,128,689.765625,243,-,-,1,0,0,0,0,0,0,0,0,0,0,0,4,7,12,8,6,8,8,25,38,11,0,0,32,29,10,0,0,0,0,0,0,0,24,33,22,19,34,34,19,0,0,855,100,134,2774,324,0,47,0,5,1,15,0,3,28
Tribuna  do  Paraná.txt,1006,124.13121272365805,979,-,-,0,0,0,0,0,0,0,0,0,46,133,110,75,67,87,127,128,132,74,17,9,1,0,0,208,147,94,0,0,0,0,0,0,0,256,301,221,222,196,180,167,0,20,3926,420,114,16632,995,3,2,0,0,0,158,0,6,6
O  Município  Joinville.txt,2006,138.45413758723828,968,-,-,3,1,1,0,0,0,1,45,110,131,130,172,120,124,126,148,142,156,154,154,128,94,55,11,408,468,178,0,0,0,0,0,0,0,457,495,338,326,318,315,309,192,208,4178,126,67,3563,1957,8,20,0,1,0,318,8,17,6
